iter	MultiClass
0	-1.376398778
1	-1.15392297
2	-1.009237724
3	-0.924692742
4	-0.8640478223
5	-0.8184678679
6	-0.783654697
7	-0.7538210735
8	-0.7346659336
9	-0.7096205986
10	-0.7010111566
11	-0.6959756424
12	-0.6829560729
13	-0.6759675921
14	-0.6651857274
15	-0.6574633917
16	-0.6403404585
17	-0.6286903452
18	-0.6196492498
19	-0.61509543
20	-0.6073705318
21	-0.5996143966
22	-0.594016627
23	-0.5895176851
24	-0.5824956649
25	-0.5772373572
26	-0.5731278462
27	-0.5676001435
28	-0.5624973523
29	-0.5554106981
30	-0.5495330815
31	-0.5468276148
32	-0.5430659093
33	-0.5393085795
34	-0.535663555
35	-0.5307728882
36	-0.5250487771
37	-0.5214612386
38	-0.5166223918
39	-0.5088845204
40	-0.5040011542
41	-0.5010446516
42	-0.4988329262
43	-0.4948497841
44	-0.4893775796
45	-0.4860153415
46	-0.4797895422
47	-0.4756450552
48	-0.4734165584
49	-0.470394035
50	-0.4679280794
51	-0.4625064982
52	-0.459246366
53	-0.4563390507
54	-0.4528852744
55	-0.4512321863
56	-0.4497339715
57	-0.4477381322
58	-0.4451244325
59	-0.4444502797
60	-0.4406774064
61	-0.4377571403
62	-0.4365840666
63	-0.4354725483
64	-0.4329755603
65	-0.4287158977
66	-0.4264577149
67	-0.4259787456
68	-0.4236117591
69	-0.4225856592
70	-0.420286234
71	-0.4175312874
72	-0.4159371985
73	-0.4148038993
74	-0.412858783
75	-0.4118022716
76	-0.4109215919
77	-0.4061035245
78	-0.4032930531
79	-0.401722389
80	-0.3966801208
81	-0.3951403331
82	-0.3940625484
83	-0.3933435259
84	-0.3901798623
85	-0.3886858685
86	-0.3855746249
87	-0.3829369207
88	-0.379931643
89	-0.3770986725
90	-0.3759768708
91	-0.374740907
92	-0.3725714
93	-0.3715841919
94	-0.3701205939
95	-0.3684717154
96	-0.365820641
97	-0.363353922
98	-0.3607205422
99	-0.3595100752
100	-0.3586325248
101	-0.3570944834
102	-0.3561713057
103	-0.3551607679
104	-0.3542093047
105	-0.3527289081
106	-0.3508255527
107	-0.3490454767
108	-0.3480249007
109	-0.3468757481
110	-0.3448583456
111	-0.3434297543
112	-0.3417235094
113	-0.3398445253
114	-0.3380858352
115	-0.3349054648
116	-0.3337690095
117	-0.3321787015
118	-0.3313673606
119	-0.330974693
120	-0.3304311902
121	-0.3292115955
122	-0.3279585003
123	-0.3266459697
124	-0.3252752057
125	-0.3240792169
126	-0.3230795281
127	-0.3223130038
128	-0.321880099
129	-0.3214462444
130	-0.320157941
131	-0.319252415
132	-0.3178547691
133	-0.3164226843
134	-0.3138661528
135	-0.3124457847
136	-0.3113679896
137	-0.3107818082
138	-0.3095080346
139	-0.3083273326
140	-0.3067838389
141	-0.3058789613
142	-0.3045182532
143	-0.3039666026
144	-0.3025025242
145	-0.301229976
146	-0.2994722829
147	-0.29851499
148	-0.2979348661
149	-0.2960208612
150	-0.2948339366
151	-0.2938975854
152	-0.2934535844
153	-0.2924027327
154	-0.2920172604
155	-0.2908209662
156	-0.290327388
157	-0.2895960882
158	-0.2890579591
159	-0.2876926669
160	-0.286916566
161	-0.2862045739
162	-0.2849023374
163	-0.2834737515
164	-0.2817999059
165	-0.2806677453
166	-0.2798155463
167	-0.2790880312
168	-0.2783580192
169	-0.2771918974
170	-0.276672473
171	-0.2759982655
172	-0.2754751082
173	-0.2749308179
174	-0.2737443099
175	-0.2731505262
176	-0.272368646
177	-0.2715903855
178	-0.2703967271
179	-0.2700291423
180	-0.2688472611
181	-0.2680785308
182	-0.2669415081
183	-0.26668033
184	-0.2656944404
185	-0.265427613
186	-0.2649700063
187	-0.2642064288
188	-0.2638891299
189	-0.2630184191
190	-0.2626787124
191	-0.2619720578
192	-0.2604083068
193	-0.2600320347
194	-0.2592715533
195	-0.2586889432
196	-0.2577969337
197	-0.2575898292
198	-0.2571332191
199	-0.2563037594
200	-0.2557902315
201	-0.2546047482
202	-0.2532277087
203	-0.2525139575
204	-0.2510859149
205	-0.2501695653
206	-0.2495557037
207	-0.2486342109
208	-0.2481728559
209	-0.247578224
210	-0.2468973664
211	-0.2455415283
212	-0.2451237664
213	-0.244578301
214	-0.2443710362
215	-0.2434107989
216	-0.2424332626
217	-0.241976363
218	-0.24106798
219	-0.2399101715
220	-0.2394302256
221	-0.2389814643
222	-0.2386567128
223	-0.2381689441
224	-0.2379692842
225	-0.2363815034
226	-0.2357525503
227	-0.2351525619
228	-0.2346180122
229	-0.2338320302
230	-0.2331055066
231	-0.2319080298
232	-0.2311359697
233	-0.230488797
234	-0.2298453541
235	-0.2293713465
236	-0.2286145765
237	-0.2281849628
238	-0.2274217442
239	-0.2266258011
240	-0.2263700817
241	-0.226079087
242	-0.2248330394
243	-0.2239160239
244	-0.2231827916
245	-0.2225279427
246	-0.222189356
247	-0.2213435269
248	-0.2210890699
249	-0.2203833301
250	-0.2198408749
251	-0.219248269
252	-0.2179437328
253	-0.2175253598
254	-0.2167753764
255	-0.2161625993
256	-0.2150285932
257	-0.2145711816
258	-0.2139475514
259	-0.2135714159
260	-0.2127458483
261	-0.2124385563
262	-0.2113037262
263	-0.2106163138
264	-0.2101574015
265	-0.2097618109
266	-0.2093373903
267	-0.2083175298
268	-0.2078211032
269	-0.2072501825
270	-0.2068703334
271	-0.2064994451
272	-0.2061633538
273	-0.2058408551
274	-0.2054768852
275	-0.2047998931
276	-0.2044235533
277	-0.2037941012
278	-0.2032863605
279	-0.2022845141
280	-0.2021521268
281	-0.2018478319
282	-0.2013312096
283	-0.2007448452
284	-0.2001130397
285	-0.1997303801
286	-0.1993778555
287	-0.1987960082
288	-0.198206268
289	-0.1977094625
290	-0.197286752
291	-0.1963159335
292	-0.1955649217
293	-0.1950097181
294	-0.1943488812
295	-0.1937922036
296	-0.1932972316
297	-0.1924726074
298	-0.1918129021
299	-0.191102677
300	-0.1903276146
301	-0.1900877547
302	-0.1892989149
303	-0.1886085474
304	-0.188010054
305	-0.1877492351
306	-0.1872373051
307	-0.187082174
308	-0.1863062983
309	-0.185923531
310	-0.1855718922
311	-0.1850349315
312	-0.1844174768
313	-0.1839782687
314	-0.1829461411
315	-0.1826967859
316	-0.1822421135
317	-0.1818030521
318	-0.181298208
319	-0.1810213523
320	-0.1803585735
321	-0.1797875588
322	-0.179305011
323	-0.1790254046
324	-0.1785268381
325	-0.1782696065
326	-0.1779488387
327	-0.1772618378
328	-0.1768912727
329	-0.1762566983
330	-0.1759466057
331	-0.1754600704
332	-0.1750026172
333	-0.1745097435
334	-0.1737146346
335	-0.1732174707
336	-0.1728872013
337	-0.1723736258
338	-0.1718874716
339	-0.1715291025
340	-0.1711314246
341	-0.1706314967
342	-0.169661975
343	-0.1692038835
344	-0.1687575413
345	-0.1685385498
346	-0.1682685495
347	-0.1677264505
348	-0.1674602203
349	-0.1672922587
350	-0.1669884962
351	-0.1667283159
352	-0.1664441481
353	-0.1659003683
354	-0.1655465762
355	-0.1651635184
356	-0.1647302712
357	-0.1644063073
358	-0.1638848549
359	-0.1631560894
360	-0.1629208771
361	-0.1623601473
362	-0.1620794423
363	-0.1615622622
364	-0.161093464
365	-0.1608209046
366	-0.1606672735
367	-0.1603259821
368	-0.160056297
369	-0.1599608537
370	-0.1595506282
371	-0.159201964
372	-0.1588668024
373	-0.1585894447
374	-0.1580535547
375	-0.1576416934
376	-0.1573128498
377	-0.157151631
378	-0.1567007675
379	-0.15632938
380	-0.1561872551
381	-0.1559276925
382	-0.1557121164
383	-0.1554967018
384	-0.1549612257
385	-0.1546576384
386	-0.1545256695
387	-0.1536728836
388	-0.1532671811
389	-0.1530436103
390	-0.1528754073
391	-0.1526272242
392	-0.1522287107
393	-0.1519745712
394	-0.1513079357
395	-0.1507526152
396	-0.1504879903
397	-0.1502414791
398	-0.1499530691
399	-0.149820899
400	-0.1496335579
401	-0.1492099139
402	-0.1488201104
403	-0.1484782322
404	-0.1476855711
405	-0.1474791841
406	-0.1472058149
407	-0.146922182
408	-0.1461051179
409	-0.145757477
410	-0.1456206399
411	-0.1453629649
412	-0.1451276823
413	-0.1445605269
414	-0.1442858843
415	-0.1440420217
416	-0.1437047441
417	-0.1434695251
418	-0.1432326003
419	-0.1425727241
420	-0.1422862145
421	-0.1420662664
422	-0.1417416378
423	-0.1414853162
424	-0.1411558669
425	-0.1409099819
426	-0.1402301102
427	-0.1399811378
428	-0.1397071551
429	-0.139529796
430	-0.1391093969
431	-0.1384724794
432	-0.1380887074
433	-0.1377218002
434	-0.1374318926
435	-0.1372416565
436	-0.1367889119
437	-0.136347109
438	-0.1360573259
439	-0.1353281057
440	-0.1349725621
441	-0.1347694399
442	-0.1345784955
443	-0.1342072397
444	-0.13386938
445	-0.1336127245
446	-0.1332280067
447	-0.1329361566
448	-0.1326472611
449	-0.1322032194
450	-0.1320002799
451	-0.1317569117
452	-0.1314717157
453	-0.1312401453
454	-0.1310002245
455	-0.1307598494
456	-0.1300057993
457	-0.1297945601
458	-0.1295801934
459	-0.1292374497
460	-0.1289322766
461	-0.1283746014
462	-0.1282122016
463	-0.1276549811
464	-0.1272885486
465	-0.1269739136
466	-0.1268467739
467	-0.1263325231
468	-0.1260201138
469	-0.1256743383
470	-0.1255571472
471	-0.1250171625
472	-0.1246580852
473	-0.1244940639
474	-0.1241502952
475	-0.1237766973
476	-0.1234771215
477	-0.1231810268
478	-0.1230081566
479	-0.1226479445
480	-0.1222936993
481	-0.1221554299
482	-0.1218292455
483	-0.1216713887
484	-0.1213443567
485	-0.1211030427
486	-0.120796998
487	-0.1205390077
488	-0.1203556964
489	-0.1201763421
490	-0.1199072961
491	-0.1197459301
492	-0.1196488466
493	-0.1194525958
494	-0.1192990255
495	-0.119134736
496	-0.1189904837
497	-0.1186772571
498	-0.1183185167
499	-0.118048838
