iter	Passed	Remaining
0	258	51511
1	449	44460
2	638	41940
3	807	39585
4	1016	39650
5	1216	39337
6	1416	39042
7	1622	38938
8	1830	38856
9	2038	38728
10	2245	38586
11	2455	38472
12	2671	38424
13	2875	38208
14	3085	38053
15	3293	37872
16	3508	37772
17	3772	38147
18	3995	38063
19	4210	37896
20	4425	37720
21	4661	37716
22	4873	37501
23	5090	37327
24	5293	37055
25	5506	36854
26	5714	36613
27	5930	36427
28	6133	36168
29	6345	35960
30	6564	35785
31	6781	35603
32	6981	35330
33	7182	35067
34	7392	34852
35	7602	34634
36	7823	34466
37	8044	34292
38	8245	34038
39	8451	33805
40	8675	33644
41	8889	33440
42	9092	33199
43	9303	32984
44	9511	32760
45	9716	32530
46	9937	32351
47	10165	32191
48	10375	31972
49	10596	31788
50	10798	31547
51	11027	31384
52	11255	31217
53	11474	31022
54	11688	30813
55	11905	30614
56	12103	30365
57	12308	30133
58	12530	29946
59	12750	29750
60	12979	29575
61	13195	29370
62	13418	29179
63	13638	28982
64	13880	28828
65	14089	28605
66	14315	28416
67	14535	28215
68	14762	28028
69	15009	27875
70	15230	27672
71	15456	27477
72	15675	27271
73	15883	27044
74	16104	26840
75	16325	26635
76	16531	26407
77	16747	26195
78	16967	25988
79	17189	25784
80	17401	25565
81	17608	25339
82	17835	25141
83	18048	24924
84	18272	24721
85	18493	24514
86	18707	24297
87	18918	24077
88	19118	23844
89	19350	23651
90	19580	23453
91	19817	23264
92	20045	23062
93	20266	22854
94	20518	22678
95	20723	22450
96	20956	22252
97	21168	22032
98	21377	21809
99	21611	21611
100	21835	21403
101	22053	21188
102	22272	20975
103	22506	20775
104	22733	20568
105	22944	20346
106	23155	20125
107	23376	19913
108	23596	19699
109	23785	19460
110	23977	19225
111	24168	18989
112	24365	18759
113	24562	18529
114	24750	18293
115	24969	18081
116	25217	17889
117	25396	17648
118	25598	17424
119	25796	17197
120	25980	16962
121	26173	16733
122	26386	16518
123	26570	16285
124	26759	16055
125	26951	15828
126	27140	15600
127	27338	15377
128	27532	15153
129	27712	14922
130	27898	14694
131	28089	14470
132	28286	14249
133	28486	14030
134	28677	13807
135	28868	13585
136	29086	13375
137	29262	13146
138	29468	12932
139	29655	12709
140	29840	12486
141	30025	12264
142	30266	12064
143	30470	11849
144	30660	11629
145	30878	11420
146	31099	11212
147	31332	11008
148	31549	10798
149	31781	10593
150	31998	10383
151	32220	10174
152	32436	9964
153	32669	9758
154	32900	9551
155	33121	9341
156	33336	9130
157	33525	8911
158	33707	8691
159	33904	8476
160	34110	8262
161	34325	8051
162	34540	7840
163	34759	7630
164	34939	7411
165	35143	7198
166	35334	6982
167	35543	6770
168	35770	6561
169	35974	6348
170	36160	6132
171	36347	5917
172	36525	5700
173	36837	5504
174	37051	5293
175	37261	5081
176	37448	4866
177	37648	4653
178	37838	4439
179	38075	4230
180	38316	4022
181	38519	3809
182	38718	3596
183	38923	3384
184	39142	3173
185	39332	2960
186	39534	2748
187	39758	2537
188	39983	2327
189	40240	2117
190	40443	1905
191	40642	1693
192	40852	1481
193	41039	1269
194	41223	1057
195	41427	845
196	41613	633
197	41814	422
198	42013	211
199	42228	0
